,_id,ltable_id,rtable_id,ltable_Title,ltable_Authors,ltable_Genres,ltable_Publishing Date,ltable_Pages,ltable_Publisher,ltable_Language,rtable_Title,rtable_Authors,rtable_Genres,rtable_Publishing Date,rtable_Pages,rtable_Publisher,rtable_Language
21857,21857,1044,658,Kiss of Midnight,Lara Adrian,Fantasy:Fantasy Books:Romance:Romance Books,16 Feb 2009,432,Bantam Doubleday Dell Publishing Group Inc,English,Ashes of Midnight,Lara Adrian,Romance;Paranormal Romance;Fantasy;Paranormal;Paranormal;Vampires;Romance,May 26th 2009,368,Dell,English
21865,21865,1215,658,Darker After Midnight,Lara Adrian,Fantasy:Fantasy Books:Romance:Romance Books,16 Jan 2012,416,Little Brown Book Group,English,Ashes of Midnight,Lara Adrian,Romance;Paranormal Romance;Fantasy;Paranormal;Paranormal;Vampires;Romance,May 26th 2009,368,Dell,English
22047,22047,496,667,The Mackade Brothers: Devin & Shane : The Heart of Devin Mackade\The Fall of Shane Mackade,Nora Roberts,Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance,31 Dec 2013,457,Silhouette Books,English,The Return of Rafe MacKade,Nora Roberts,Romance;Romance;Contemporary Romance;Contemporary;Fiction,April 1st 1995,251,Silhouette,English
22935,22935,1508,696,Tangle of Need : Book 11,Nalini Singh,Fantasy:Fantasy Books:Romance:Romance Books,13 Dec 2012,432,Orion Publishing Co,English,Tangle of Need,Nalini Singh,Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Fantasy;Paranormal;Shapeshifters;Fantasy;Urban Fantasy,May 29th 2012,422,Berkley,
22990,22990,28,700,A Breath of Snow and Ashes,Diana Gabaldon,Science Fiction:Science Fiction:Fantasy:Fantasy Books:Romance:Romance Books:Historical Romance:Historical Romance:Historical Fiction,01 May 2008,1438,Random House USA Inc,English,A Breath of Snow and Ashes,Diana Gabaldon,Romance;Historical Romance;Historical;Historical Fiction;Adult;Romance,August 29th 2006,980,Delta,English
23165,23165,1342,709,Point of Retreat,Colleen Hoover,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,18 Sep 2012,302,SIMON & SCHUSTER,English,Point of Retreat,Colleen Hoover,Romance;New Adult;Young Adult;Contemporary,February 25th 2012,215,,
23179,23179,1925,710,Shanna,Kathleen E. Woodiwiss,Contemporary Fiction:Romance:Romance Books:Historical Romance:Historical Romance:Historical Fiction,31 May 2016,688,HarperCollins Publishers Inc,English,Shanna,Kathleen E. Woodiwiss,Romance;Romance;Historical Romance;Historical;Historical;Historical Fiction;Fiction;Adult;Adventure;Pirates;Womens Fiction;Chick Lit;Did Not Finish;Historical;Regency,,672,Avon,English
23435,23435,167,720,Archangel's Consort,Nalini Singh,Fantasy:Fantasy Books:Romance:Romance Books,02 Feb 2011,337,Penguin Putnam Inc,English,Archangel's Consort,Nalini Singh,Paranormal;Angels;Fantasy;Paranormal;Fantasy;Urban Fantasy;Romance;Paranormal Romance;Romance;Paranormal;Vampires;Fantasy,February 10th 2011,324,Gollancz,
23441,23441,261,720,Archangel's Viper : Book 10,Nalini Singh,Fantasy:Fantasy Books:Romance:Romance Books,28 Sep 2017,368,Orion Publishing Co,English,Archangel's Consort,Nalini Singh,Paranormal;Angels;Fantasy;Paranormal;Fantasy;Urban Fantasy;Romance;Paranormal Romance;Romance;Paranormal;Vampires;Fantasy,February 10th 2011,324,Gollancz,
23473,23473,1350,720,Archangel's Enigma : Book 8,Nalini Singh,Fantasy:Fantasy Books:Romance:Romance Books,05 Nov 2015,384,Orion Publishing Co,English,Archangel's Consort,Nalini Singh,Paranormal;Angels;Fantasy;Paranormal;Fantasy;Urban Fantasy;Romance;Paranormal Romance;Romance;Paranormal;Vampires;Fantasy,February 10th 2011,324,Gollancz,
23483,23483,1287,721,Poison Study,Maria V. Snyder,Fantasy:Fantasy Books:Romance:Romance Books,01 Mar 2007,409,Mira Books,English,Poison Study,Maria V. Snyder,Fantasy;Young Adult;Fiction;Romance,March 1st 2007,409,Mira,English
23597,23597,3455,728,Crashed,K. Bromberg,Contemporary Fiction:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,22 Sep 2016,456,Diversion Books,English,Crashed,K. Bromberg,Romance;Romance;Contemporary Romance;Adult Fiction;Erotica;Sports and Games;Sports,March 3rd 2014,350,JKB Publishing,
23831,23831,1042,735,Heart of the Sea,Nora Roberts,Contemporary Fiction:Horror:Horror:Romance:Romance Books,05 Dec 2000,384,Penguin Putnam Inc,English,The Heart of Devin MacKade,Nora Roberts,Romance;Romance;Contemporary Romance;Contemporary;Fiction,June 20th 2011,158,Silhouette Desire,English
23915,23915,233,737,Deeper Than Midnight,Lara Adrian,Fantasy:Fantasy Books:Romance:Romance Books,09 Aug 2011,416,Random House USA Inc,English,Midnight Rising,Lara Adrian,Romance;Paranormal Romance;Fantasy;Paranormal;Paranormal;Vampires;Romance,March 25th 2008,356,Dell,English
23916,23916,1044,737,Kiss of Midnight,Lara Adrian,Fantasy:Fantasy Books:Romance:Romance Books,16 Feb 2009,432,Bantam Doubleday Dell Publishing Group Inc,English,Midnight Rising,Lara Adrian,Romance;Paranormal Romance;Fantasy;Paranormal;Paranormal;Vampires;Romance,March 25th 2008,356,Dell,English
23920,23920,1106,737,Ashes of Midnight,Lara Adrian,Fiction Books:Fantasy:Fantasy Books:Romance:Romance Books,07 Dec 2010,353,Random House USA Inc,English,Midnight Rising,Lara Adrian,Romance;Paranormal Romance;Fantasy;Paranormal;Paranormal;Vampires;Romance,March 25th 2008,356,Dell,English
23921,23921,1108,737,Shades of Midnight : A Midnight Breed Novel,Lara Adrian,Horror:Horror:Fantasy:Fantasy Books:Romance:Romance Books,14 Jan 2010,383,Dell Books,English,Midnight Rising,Lara Adrian,Romance;Paranormal Romance;Fantasy;Paranormal;Paranormal;Vampires;Romance,March 25th 2008,356,Dell,English
24003,24003,1367,741,Simple Perfection,Abbi Glines,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,03 Dec 2013,272,Simon & Schuster Ltd,English,Twisted Perfection,Abbi Glines,New Adult;Romance;Contemporary;Romance;Contemporary Romance,April 24th 2013,290,Abbi Glines,
24116,24116,1099,746,Sweet Revenge : A Novel,Nora Roberts,Contemporary Fiction:Thriller Books:Thrillers:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,01 Dec 2006,376,Bantam Doubleday Dell Publishing Group Inc,English,Sweet Revenge,Nora Roberts,Romance;Romance;Romantic Suspense;Fiction;Romance;Contemporary Romance;Contemporary,May 5th 1997,376,Bantam,English
24252,24252,1025,752,Immortals After Dark #6: Kiss of a Demon King,Kresley Cole,Romance:Romance Books,21 Jul 2009,352,SIMON & SCHUSTER,English,Kiss of a Demon King,Kresley Cole,Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Fantasy;Paranormal;Demons,January 20th 2009,417,Pocket Books,English
24269,24269,1091,755,Midnight Awakening,Lara Adrian,Fantasy:Fantasy Books:Romance:Romance Books,17 Feb 2009,369,Random House USA Inc,English,Shades of Midnight,Lara Adrian,Romance;Paranormal Romance;Fantasy;Paranormal;Paranormal;Vampires;Romance,December 29th 2009,383,Dell,English
24447,24447,548,763,With This Man,Jodi Ellen Malpas,Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,22 Mar 2018,480,Orion Publishing Co,English,Beneath This Man,Jodi Ellen Malpas,Romance;Adult Fiction;Erotica;Erotica;Bdsm;Romance;Contemporary Romance;Contemporary,January 15th 2013,528,Jodi Ellen Malpas Limited,
24503,24503,2311,765,Scandalous Desires : Number 3 in series,Elizabeth Hoyt,Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance,03 Nov 2011,384,Little Brown Book Group,English,Scandalous Desires,Elizabeth Hoyt,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Adventure;Pirates,October 18th 2011,393,Grand Central Publishing,
24847,24847,1632,778,It's In His Kiss : Number 7 in series,Julia Quinn,Historical Romance:Historical Romance,01 Dec 2006,384,Little Brown Book Group,English,The Secret Diaries of Miss Miranda Cheever,Julia Quinn,Romance;Historical Romance;Romance;Historical;Historical;Regency;Historical;Historical Fiction;Fiction,June 26th 2007,373,Avon,English
24886,24886,1044,779,Kiss of Midnight,Lara Adrian,Fantasy:Fantasy Books:Romance:Romance Books,16 Feb 2009,432,Bantam Doubleday Dell Publishing Group Inc,English,Deeper Than Midnight,Lara Adrian,Romance;Paranormal Romance;Fantasy;Paranormal;Paranormal;Vampires;Romance,June 28th 2011,387,Dell,English
24888,24888,1091,779,Midnight Awakening,Lara Adrian,Fantasy:Fantasy Books:Romance:Romance Books,17 Feb 2009,369,Random House USA Inc,English,Deeper Than Midnight,Lara Adrian,Romance;Paranormal Romance;Fantasy;Paranormal;Paranormal;Vampires;Romance,June 28th 2011,387,Dell,English
24894,24894,1215,779,Darker After Midnight,Lara Adrian,Fantasy:Fantasy Books:Romance:Romance Books,16 Jan 2012,416,Little Brown Book Group,English,Deeper Than Midnight,Lara Adrian,Romance;Paranormal Romance;Fantasy;Paranormal;Paranormal;Vampires;Romance,June 28th 2011,387,Dell,English
25505,25505,1044,803,Kiss of Midnight,Lara Adrian,Fantasy:Fantasy Books:Romance:Romance Books,16 Feb 2009,432,Bantam Doubleday Dell Publishing Group Inc,English,Kiss of Crimson,Lara Adrian,Romance;Paranormal Romance;Fantasy;Paranormal;Paranormal;Vampires;Romance,May 29th 2007,387,Dell,English
25778,25778,25,811,The Fiery Cross,Diana Gabaldon,Fantasy:Fantasy Books:Romance:Romance Books:Historical Fiction,01 Sep 2005,1472,Random House USA Inc,English,The Fiery Cross,Diana Gabaldon,Historical;Historical Fiction;Romance;Fantasy;Fiction;Science Fiction;Time Travel;Historical,August 30th 2005,1443,Dell,English
