Title,Authors,Genres,Year,Pages,Publisher,Language,ISBN,ISBN13,URL
Call Me by Your Name : A Novel,Andre Aciman,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,03 Oct 2017,256,Picador/Farrar Straus and Giroux,English,1250169445,1250169445,https://www.bookdepository.com/Call-Me-by-Your-Name-Andre-Aciman/9781250169440?ref=grid-view,
Graceling,Kristin Cashore,Fantasy:Fantasy Books:Romance:Romance Books:Sci Fi Books for Kids,03 Sep 2009,400,Orion Publishing Co,English,0575085304,0575085304,https://www.bookdepository.com/Graceling-Kristin-Cashore/9780575085305?ref=grid-view,
China Rich Girlfriend : There's Rich There's Filthy Rich and Then There's China Rich...,Kevin Kwan,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,19 Jul 2016,400,Allen & Unwin,English,1760290785,1760290785,https://www.bookdepository.com/China-Rich-Girlfriend-Kevin-Kwan/9781760290788?ref=grid-view,
The Bronze Horseman,Paullina Simons,Military Fiction:Historical Romance:Historical Romance:Historical Fiction,08 Sep 2009,810,HarperCollins Publishers Inc,English,006185414X,006185414X,https://www.bookdepository.com/Bronze-Horseman-Paullina-Simons/9780061854149?ref=grid-view,
Lover Avenged,J R Ward,Romance:Romance Books,25 Jul 2011,655,Penguin Putnam Inc,English,045122857X,045122857X,https://www.bookdepository.com/Lover-Avenged-J-R-Ward/9780451228574?ref=grid-view,
Giovanni's Room,James Baldwin,Contemporary Fiction:Romance:Romance Books,01 May 2010,160,Penguin Books Ltd,English,0141032944,0141032944,https://www.bookdepository.com/Giovannis-Room-James-Baldwin/9780141032948?ref=grid-view,
Rebecca,Daphne du Maurier,Contemporary Fiction:Classic Books & Novels:Romance:Romance Books,08 Jul 2011,380,HarperCollins Publishers Inc,English,0380778556,0380778556,https://www.bookdepository.com/Rebecca-Daphne-du-Maurier/9780380778553?ref=grid-view,
The Notebook,Nicholas Sparks,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,22 Dec 2014,240,Little Brown Book Group,English,0751540471,0751540471,https://www.bookdepository.com/Notebook-Nicholas-Sparks/9780751540475?ref=grid-view,
The Princess Bride : S. Morgenstern's Classic Tale of True Love and High Adventure; The "Good Parts" Version,William Goldman,Classic Books & Novels:Adventure Books:Fantasy:Fantasy Books:Romance:Romance Books:Historical Fiction,06 Feb 2008,456,Harcourt Children's Books,English,0156035219,0156035219,https://www.bookdepository.com/Princess-Bride-William-Goldman/9780156035217?ref=grid-view,
The Storm Sister,Lucinda Riley,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,21 Apr 2016,720,Pan MacMillan,English,1447288580,1447288580,https://www.bookdepository.com/Storm-Sister-Lucinda-Riley/9781447288589?ref=grid-view,
